"","y","x","iso3","name"
"170",11,"Q","NPL","Nepal"
"171",12,"Q","IND","India"
"172",13,"Q","LKA","Sri Lanka"
"173",14,"Q","MDV","Maldives"
"174",10,"R","BTN","BTN"
"175",11,"R","BGD","Bangladesh"
"176",12,"R","MMR","Myanmar"
"177",3,"S","MNG","Mongolia"
"178",5,"S","CHN","China"
"179",10,"S","VNM","Vietnam"
"180",11,"S","LAO","Laos"
"181",12,"S","THA","Thailand"
"182",13,"S","KHM","Cambodia"
"183",14,"S","MYS","Malaysia"
"184",15,"S","SGP","Singapore"
"185",16,"S","IDN","Indonesia"
"186",17,"S","TLS","Timor-Leste"
"187",6,"T","HKG","HKG"
"188",7,"T","MAC","MAC"
"189",9,"T","PHL","Philippines"
"190",15,"T","BRN","Brunei Darussalam"
"191",16,"T","PNG","Papua New Guinea"
"192",18,"T","FJI","Fiji"
"193",19,"T","NCL","NCL"
"194",21,"T","AUS","Australia"
"195",3,"U","PRK","North Korea"
"196",4,"U","KOR","South Korea"
"197",12,"U","PLW","Palau"
"198",15,"U","SLB","Solomon Islands"
"199",16,"U","TUV","Tuvalu"
"200",17,"U","VUT","Vanuatu"
"201",18,"U","WSM","Samoa"
"202",19,"U","TON","Tonga"
"203",4,"V","JPN","Japan"
"204",9,"V","MNP","MNP"
"205",10,"V","GUM","GUM"
"206",11,"V","MHL","MHL"
"207",12,"V","FSM","Micronesia"
"208",14,"V","KIR","Kiribati"
"209",17,"V","ASM","ASM"
"210",18,"V","COK","Cook Islands"
"211",20,"V","PYF","PYF"
"212",22,"V","NZL","New Zealand"
